Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
Cubilete #163,23000,3,2,131,Punto Sur,Tlajomulco de Zúñiga,House
"c palmira, bv valle imperial 1235",12200,3,1,97,Zapopan Centro,Zapopan,House
Paseo de los valles,45000,5,6,520,Chapalita Sur,Zapopan,House
LOPEZ MATEOS 194,25000,2,5,130,Fraccionamiento Valle Imperial,Zapopan,House
Otranto 3876,70000,4,4,412,Valle Real,Zapopan,House
Condominio Azahares,26000,4,3,1,Villa de los Belenes,Zapopan,House
la merced 925,60000,3,1,300,Providencia,Guadalajara,House
Sendero de los Viñedos,13500,2,4,95,Chapalita Oriente,Zapopan,House
Pablo Valdez 1035,28000,5,4,369,Fraccionamiento Bugambilias,Zapopan,House
,40000,4,3,198,Chapalita,Guadalajara,House
,16500,4,2,148,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
,8500,2,,43,El Mirador,Guadalajara,House
vereda del ganso Puerta de hierro,80000,3,3,744,Puerta de Hierro,Zapopan,House
Paseo L,131000,4,4,1000,Lomas del Valle,Zapopan,House
Calzada de las flores 1364,18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
Paseo la Toscana 777,40000,4,4,233,Valle Real,Zapopan,House
AV VOLCAN TANCITARO 2236,18500,3,3,135,Volcán Del Colli,Zapopan,House
Calle Alameda,20000,7,4,172,Barrio El Retiro,Guadalajara,House
VALLE DE LA PLATA 2589,30000,4,4,176,Ciudad Granja,Zapopan,House
Av de la Campiña 5261,7200,2,1,90,Jardines del Valle,Zapopan,House
Alamillo 934,9000,2,2,105,La Venta del Astillero,Zapopan,House
PASEO SOLARES 934 215,13500,3,2,105,El Fortín,Zapopan,House
Esmeralda,26800,3,3,186,Fraccionamiento Solares,Zapopan,House
sendero de los abedules 125,11000,3,2,70,El Fortín,Zapopan,House
Cuauhtémoc,60000,3,5,350,Valle Real,Zapopan,House
,7500,3,2,113,Belcanto,Tlajomulco de Zúñiga,House
,55000,3,3,507,Puerta de Hierro,Zapopan,House
,10900,3,2,64,La Venta del Astillero,Zapopan,House
,26700,4,4,144,Fraccionamiento Solares,Zapopan,House
,24000,2,4,350,Colinas de Santa Anita,Tlajomulco de Zúñiga,House
,13000,4,2,120,Real del Sol,Tlajomulco de Zúñiga,House
,110000,3,4,1900,Ciudad Del Sol,Zapopan,House
