Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
Av. Tepeya 6161 Cedro 124,10800,3,2,1,Santa Anita,Tlajomulco de Zúñiga,House
Tlahuac 3856,20500,3,3,147,Tepeyac,Zapopan,House
comerciantes,8000,1,3,40,Fraccionamiento Camino Real,Zapopan,House
Americana,20000,3,2,230,Fraccionamiento La Cima,Zapopan,House
"Paseo del Origen 601 32 , El Origen , 45645 Tlajomulco de Zúñiga, Jalisco, México",13500,2,2,159,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
Coto Cadiz 0,33600,4,3,350,Ciudad Del Sol,Zapopan,House
Rio Atengo,55000,3,3,245,Valle Real,Zapopan,House
"CHIMALPOPOCA 480, COL. JARDINES DEL SOL",25000,3,2,180,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Boulevard Senderos de Monte Verde ,32900,5,2,220,La Estancia,Zapopan,House
,80000,10,2,390,Americana,Guadalajara,House
,13000,3,5,102,El Ojo de Agua,Tlajomulco de Zúñiga,House
,21000,3,3,119,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
,39000,4,1,5000,Fraccionamiento Pinar de La Venta,Zapopan,House
,22000,4,3,201,Nuevo México,Zapopan,House
,14000,3,2,130,12 de Diciembre,Zapopan,House
,17800,3,1,140,Jardines Del Sol,Zapopan,House
,17500,4,,170,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
,10000,2,,66,Nuevo México,Zapopan,House
PASEO DE LA LUNA 155,50000,3,2,170,Providencia,Guadalajara,House
Andares ,27000,3,3,200,Fraccionamiento Solares,Zapopan,House
Paseo de la alameda 25,54000,3,3,300,Puerta de Hierro,Zapopan,House
C.galeana al 1500,35000,4,3,330,Ciudad Bugambilia,Zapopan,House
AV. DEL BOSQUE REAL  #1005,34900,7,3,237,Arcos Vallarta,Guadalajara,House
VEREDA DEL GANSO 72,60000,3,4,333,Royal Country,Zapopan,House
Paseo del Amanecer (COTO MURAAN) 148 63,12300,1,2,140,Zapopan,Jalisco,House
Avenida del Reno Poniente,18000,3,3,750,Fraccionamiento Valle Imperial,Zapopan,House
Av. Sendero De Los Robles,85000,3,4,140,Puerta de Hierro,Zapopan,House
"Hacienda del lago, Hacienda Real Tonala ",25000,3,2,160,Punto Sur,Tlajomulco de Zúñiga,House
Alta California,26000,3,4,838,Fraccionamiento Solares,Zapopan,House
Residencial Amaranto ,55000,3,4,90,Fraccionamiento Bugambilias,Zapopan,House
paseo de la estrella 3555,13500,2,2,62,Nuevo México,Zapopan,House
,5800,3,2,120,Hacienda Del Real,Tonalá,House
,10500,4,2,480,Alta California Residencial,Tlajomulco de Zúñiga,House
,35000,3,5,114,Fraccionamiento Bugambilias,Zapopan,House
,20000,3,2,190,Fraccionamiento Jardín Real,Zapopan,House
,14500,3,2,71,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
,7500,5,1,165,Fraccionamiento Residencial Amaranto,Zapopan,House
,29900,,4,,Bosques Vallarta,Zapopan,House
Toltecas 3446,12500,3,1,90,PanorAmica HuentitAn,Guadalajara,House
Portales # 126,50000,10,3,300,Monraz,Guadalajara,House
"Paseo del Origen 601 32 , El Origen , 45645 Tlajomulco de Zúñiga, Jalisco, México",20000,3,4,446,Colinas de Santa Anita,Tlajomulco de Zúñiga,House
STA ANA 1606 49,15000,2,2,123,La Tijera,Tlajomulco de Zúñiga,House
 ADAMAR RESIDENCIAL,13000,3,1,102,El Ojo de Agua,Tlajomulco de Zúñiga,House
Av. Tepeya 6161 Cedro 124,7900,2,2,118,Belcanto,Tlajomulco de Zúñiga,House
Ciudad Bugambilia,14800,2,1,82,Santa Ana Tepetitlán,Zapopan,House
CALLE JUSTO SIERRA 2917,9100,2,5,84,Adamar,Tlajomulco de Zúñiga,House
Residencial Sevilla,150000,4,3,345,Fraccionamiento Puerta Las Lomas,Zapopan,House
Camino al arenero,20500,3,2,147,Tepeyac,Zapopan,House
calzada norte 33,26500,3,2,200,Ciudad Bugambilia,Zapopan,House
Amado Nervo  #71,35000,5,2,300,Fraccionamiento Vallarta Norte,Guadalajara,House
Remanso de las Violetas 2173,18500,3,4,69,Nuevo México,Zapopan,House
Paseo del anochecer ,41000,4,3,206,El Bajío,Zapopan,House
CALLE CAMINO A LA MISIONES  2268 5,25000,4,7,119,Ciudad Granja,Zapopan,House
,53000,6,4,240,Ladrón de Guevara,Guadalajara,House
,33000,4,3,510,Ciudad Bugambilia,Zapopan,House
,26000,4,2,150,Santillana,Zapopan,House
,7900,3,4,96,Fraccionamiento Misión Del Bosque,Zapopan,House
,50000,10,,411,Fraccionamiento Circunvalación Vallarta,Guadalajara,House
San Acasio,65000,4,4,512,Fraccionamineto Mítica Residencial,Zapopan,House
1° de Enero,31000,3,3,300,Fraccionamiento Rinconada de los Novelistas,Zapopan,House
"RESIDENCIAL PROVENZA, COTO SUR",16000,3,2,80,Jardines del Valle,Zapopan,House
COTO YUCATAN 19,12500,3,2,115,Fraccionamiento Bonanza Residencial,Tlajomulco de Zúñiga,House
florencia 2818,32000,4,4,260,Residencial Provenza,Tlajomulco de Zúñiga,House
Bosques de Chapultepec 213,8500,2,1,91,Adamar,Tlajomulco de Zúñiga,House
Av paseo altanza 2132,49500,6,3,258,Providencia 4a Secc,Guadalajara,House
Paseo del Anochecer ,36000,4,4,811,Las Cañadas,Zapopan,House
El Cielo Country Club,33000,5,5,146,Fraccionamiento Solares,Zapopan,House
Av. Paseo Solares,28500,5,5,157,Fraccionamiento Solares,Zapopan,House
Agua azul 2525,55000,2,3,490,Cielo Contry Club,Tlajomulco de Zúñiga,House
universidad,30000,3,2,144,Fraccionamiento Solares,Zapopan,House
AV ADAMAR 1742,13000,3,5,90,La Palmira,Zapopan,House
Paseo de la frescura 161,149000,4,1,472,Puerta de Hierro,Zapopan,House
"Av. El Campestre 720, int 27",9500,2,3,93,Adamar,Tlajomulco de Zúñiga,House
Calle A 190,52900,3,2,488,El Cielo Country Club Tlajomulco,El Palomar,House
TURMALINA,10500,3,1,89,La Venta del Astillero,Zapopan,House
,19000,3,2,150,Fraccionamiento Pinar de La Venta,Zapopan,House
,9000,3,3,60,Fraccionamiento Valle de San Nicolás,Zapopan,House
,42000,4,,250,Loma Bonita,Zapopan,House
Callejon del Iris  95 13,22500,3,4,237,Santa Ana Tepetitlán,Zapopan,House
paseo la toscana 888 168,40000,4,5,233,Santillana,Zapopan,House
Morelos  1071,22000,2,3,106,Mezquitan,Guadalajara,House
Combate La Angostura 410,41900,5,2,209,Americana,Guadalajara,House
"""Privanza Senda",19000,4,3,167,Fraccionamiento Jardines de Santa Isabel,Guadalajara,House
AV. ADAMAR ,16500,2,2,100,Santa Ana Tepetitlán,Zapopan,House
Rio Atengo,35000,3,2,252,Fraccionamiento Solares,Zapopan,House
Calderón de la Barca 229,150000,4,3,850,Colomos Patria,Zapopan,House
Privada del Alva,65000,7,4,555,Jardines del Bosque Norte,Guadalajara,House
Iztaccihuatl 2119,15000,3,2,115,Adamar,Tlajomulco de Zúñiga,House
puerta las lomas lagos 87,20000,3,3,105,Altavista Residencial,Zapopan,House
,14000,3,1,130,12 de Diciembre,Zapopan,House
,55000,6,2,262,Americana,Guadalajara,House
,14000,1,3,80,Girasoles Acueducto,Zapopan,House
,8900,3,2,120,San Agustín,Tlajomulco de Zúñiga,House
,11700,3,2,80,Fraccionamiento Valle Imperial,Zapopan,House
,13500,3,2,120,Hogares de Nuevo México,Zapopan,House
,78000,9,9,340,Ciudad Del Sol,Zapopan,House
,45000,2,3,168,Parque Metropolitano,Zapopan,House
,175000,5,7,454,Fraccionamiento Puerta Las Lomas,Zapopan,House
Santo Tomas de Aquino 5609,50000,4,3,600,Arcos de Guadalupe,Zapopan,House
"Av Royal country 5395 Puerta Plata, Zapopan, Jalisco",50000,3,3,322,Puerta de Hierro,Zapopan,House
Paseo San Arturo Oriente 765,100000,3,3,600,Valle Real,Zapopan,House
CALZADA 1900,20000,3,2,69,Jardines del Valle,Zapopan,House
paseo de la luna 155,18500,3,2,140,Fraccionamiento Del Pilar Residencial,Tlajomulco de Zúñiga,House
AV. LA CIMA #295,30000,3,3,213,Fraccionamiento Solares,Zapopan,House
Vista sur ,21000,3,2,157,Fraccionamiento La Cima,Zapopan,House
Retorno de los Leones 167,85000,3,3,400,Puerta de Hierro,Zapopan,House
DR. ANGEL LEAÑO 1305,7500,3,1,70,Vista Sur Residencial,Tlajomulco de Zúñiga,House
Paseo de las Montañas 351,14000,3,2,107,San Agustín,Tlajomulco de Zúñiga,House
BOULEVARD SENDERO DE MONTEVERDE 140,130000,4,6,550,Ciudad Bugambilia,Zapopan,House
AVENIDA JUAN PALOMAR Y ARIAS.,22800,3,3,136,Ciudad Bugambilia,Zapopan,House
Calle huicholes 307,18000,3,3,105,Los Robles,Zapopan,House
Savia Central,8000,2,2,140,El Campanario,Zapopan,House
"Priv. C. Parota 30, Rancho El Centinela, 45135 Nuevo México, Jal.",70000,3,4,2144,Fraccionamiento Club de Golf Santa Anita,Tlajomulco de Zúñiga,House
,14500,3,3,177,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
,45000,4,4,224,Jardines Universidad,Zapopan,House
,56000,4,5,11,Monraz,Guadalajara,House
,18000,3,2,102,Fraccionamiento Valle de San Isidro,Zapopan,House
,22000,4,3,182,Fraccionamiento Mirador de San Isidro,Zapopan,House
Valle de las Gladiolas 156,8500,3,2,157,Fraccionamiento Valle de las Flores,Tlajomulco de Zúñiga,House
Jose Guadalupe Montenegro,45000,4,2,518,Mexicaltzingo,Guadalajara,House
Doctores  863,24000,4,2,310,Fraccionamiento Jardines de Guadalupe,Zapopan,House
Comerciantes 5449,33000,3,2,1,Arcos de Guadalupe,Zapopan,House
5 de Mayo 190,150000,4,5,670,San Juan de Ocotan,Zapopan,House
ATLAS COLOMOS,80000,3,3,925,Condominio Lomas de las Palmas,Zapopan,House
Villa Juarez 1745 Santa Anta Tepetitlán,45000,3,2,400,Villa Universitaria,Zapopan,House
Punto Sur,13500,3,2,84,Santa Ana Tepetitlán,Zapopan,House
Boulevard Valle Imperial,26000,4,4,152,Punto Sur,Tlajomulco de Zúñiga,House
Circuito fontana 1061 83,35000,3,1,259,Fraccionamiento Valle Imperial,Zapopan,House
Paseo del Parque al 2055 Casa 67,30000,3,3,134,El TriAngulo,Zapopan,House
Calle Circuito Madrigal 4193,43000,3,2,195,Ciudad Granja,Zapopan,House
Blvrd Jardin Real,55000,3,4,329,Valle Real,Zapopan,House
DEL DOLMEN,28500,4,4,165,Bosques Vallarta,Zapopan,House
Av. Universidad  2705 96,54000,3,3,283,San Wenceslao,Zapopan,House
"C. Primo Feliciano Velázquez 3457, Jardines de Los Arcos, 44500 Guadalajara, Jal.",36500,4,4,230,Fraccionamiento Jardín Real,Zapopan,House
,30000,3,3,200,Zapopan,Jalisco,House
,60000,3,4,281,Virreyes Residencial,Zapopan,House
,17000,3,2,115,Fraccionamiento Valle Imperial,Zapopan,House
,38000,4,2,200,Jardines de los Arcos,Guadalajara,House
AV. VISTA PONIENTE  1133,7500,2,1,60,Vista Sur Residencial,Tlajomulco de Zúñiga,House
Boulevard Valle Imperial 1172,35000,5,6,320,Fraccionamiento Valle Imperial,Zapopan,House
Calle Del Sereno 4289,49000,4,4,398,San Wenceslao,Zapopan,House
Departamento en Venta Bosques la Victoria Expo,15000,2,1,58,Zapopan,Jalisco,House
Florencia 1055,50000,4,4,882,Campo de Golf Santa Anita Condominio,Tlajomulco de Zúñiga,House
Av. Guadalupe No 6818 GUADALUPE INN,65000,6,4,500,Providencia,Guadalajara,House
Prol. Niños Heroes,14000,3,2,65,Fraccionamiento Guadalupe Inn,Zapopan,House
San Javier,16500,3,2,115,San Agustín,Tlajomulco de Zúñiga,House
Roque Abarca,14200,3,2,90,Plaza Guadalupe,Zapopan,House
ESCORPION 321,15000,5,1,176,La Perla,Guadalajara,House
CALLEJON DEL DIABLO 4250,25000,4,3,375,Juan Manuel Vallarta,Zapopan,House
Belissimo Circuito Turin 12,35000,3,2,289,Vallarta Universidad,Zapopan,House
CALLE OLIMPO 2D,30000,4,4,250,Residencial Provenza,Tlajomulco de Zúñiga,House
Circuito de las flores 2453,50000,3,3,400,Villa Universitaria,Zapopan,House
Paseo de la alameda 25,13500,3,2,220,Marcelino Garcia Barragán,Zapopan,House
,19000,4,2,357,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
,32000,4,3,450,Ciudad Bugambilia,Zapopan,House
,55000,3,3,350,Puerta de Hierro,Zapopan,House
,67000,3,3,333,Lomas Del Bosque,Zapopan,House
,60000,,4,,Royal Country,Zapopan,House
Calz. Lázaro Cárdenas 2717,25000,5,3,170,Jardines del Bosque Norte,Guadalajara,House
" Av Rio Blanco 1676-123, Los Almendros, Zapopan, Jalisco",18900,4,3,140,Fraccionamiento Los Almendros,Zapopan,House
Av. Guadalupe 6877 47,11400,2,1,88,Plaza Guadalupe,Zapopan,House
San Nicolás de Bari 628,24000,4,4,300,Fraccionamiento Camino Real,Zapopan,House
VILLAS CALIFORNIA,48000,3,4,550,Atlas Colomos,Zapopan,House
Uruguay 2286,36000,5,5,487,Ciudad Bugambilia,Zapopan,House
av royal country 5395,14500,2,3,60,Paseos del Sol,Zapopan,House
NICOLÁS ROMERO 1369,14000,3,2,150,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
CIRCUITO MADRIGAL 4091,25000,3,3,180,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
paseo el manantial,12000,3,2,124,Fraccionamiento Colón Industrial,Guadalajara,House
Boulevard Bosques San Isidro  1143 100,55000,3,3,324,Condominio Puerta Plata,Zapopan,House
Santillana  ,120000,3,4,621,Fraccionamiento Chapultepec Country,Guadalajara,House
Triventi,12000,3,3,104,Element,Tlajomulco de Zúñiga,House
Vista del Mar 690-13,11000,2,2,90,Santa Ana Tepetitlán,Zapopan,House
,69000,3,2,444,San Wenceslao,Zapopan,House
,30000,5,5,1,Fraccionamiento El Manantial,Tlajomulco de Zúñiga,House
,14500,3,2,90,Fraccionamiento Valle de San Isidro,Zapopan,House
,24000,3,2,139,Fraccionamiento Solares,Zapopan,House
,14000,3,2,130,Fraccionamiento Arvento,Tlajomulco de Zúñiga,House
,11000,1,,74,Terrazas Monraz,Guadalajara,House
circuito cañada del tigre #6d,14000,3,2,97,Fraccionamiento Valle de San Isidro,Zapopan,House
Av. Aviación 4055-int 58,18000,3,3,260,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Av. Naciones Unidas #7275,23000,4,2,217,Fraccionamiento Vallarta San Jorge,Guadalajara,House
Mixton,23500,3,2,130,San Juan de Ocotan,Zapopan,House
Av Ramon Corona,28000,3,4,250,Fraccionamiento Solares,Zapopan,House
"Av. Paseo Solares 934, Int. 218, Coto Sendeira",37000,3,3,250,Loma Real,Zapopan,House
AV VALLARTA 6461,95000,4,5,1194,Jacarandas,Zapopan,House
Altavista poniente 272,19300,4,3,1,Vallarta Poniente,Guadalajara,House
Isla del Coco 2426,28500,3,3,165,Bosques Vallarta,Zapopan,House
FORTUNA  93 10,70000,4,4,900,Ciudad Del Sol,Zapopan,House
Boulevard mirasierra 93 66,53000,4,4,300,Fraccionamiento Los Olivos Residencial,Zapopan,House
Camino a San Isidro 1540  178,28000,3,4,190,Fraccionamiento Solares,Zapopan,House
Valle Imperial ,11500,3,2,102,Jardines de Santa Anita,Tlajomulco de Zúñiga,House
,42000,3,2,300,Ciudad Granja,Zapopan,House
,15900,3,2,126,Altavista Residencial,Zapopan,House
,12000,4,3,119,Jardines Del Sur,Guadalajara,House
,7500,2,2,90,Lomas de San Agustin,Tlajomulco de Zúñiga,House
,13900,3,3,122,Altavista Residencial,Zapopan,House
,13000,3,2,100,Jardines de Santa Anita,Tlajomulco de Zúñiga,House
,21000,3,3,130,Fraccionamiento Valle Imperial,Zapopan,House
Coto Cadiz 0,21000,3,2,119,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
LAGO NESS 231,10000,5,3,93,Fraccionamiento Hacienda La Tijera,Tlajomulco de Zúñiga,House
Roberto Schumann 4782,35000,4,5,480,Fraccionamiento Bugambilias,Zapopan,House
Isla antigua #3485,45000,3,2,440,Lomas de Guadalupe,Zapopan,House
Placeres 628 A,55000,3,2,245,Valle Real,Zapopan,House
PUNTO SUR 1,35000,8,4,300,Arcos de Guadalupe,Zapopan,House
enrique limón diaz,8000,2,1,69,Jardines de San José,Guadalajara,House
Hilario Perez de Leon 2769,18300,3,2,180,Jardines de los Arcos,Guadalajara,House
Camino a las Moras 601,26000,3,3,250,Fraccionamiento Solares,Zapopan,House
Avenida Campiña 5173 21,19500,3,2,135,Punto Sur,Tlajomulco de Zúñiga,House
,26000,4,3,195,Virreyes Residencial,Zapopan,House
,40500,3,3,200,Virreyes Residencial,Zapopan,House
,25000,3,2,114,San Agustín,Tlajomulco de Zúñiga,House
,20000,4,2,306,Fraccionamiento Jardín Real,Zapopan,House
,25000,3,2,164,Arcos Vallarta,Guadalajara,House
,28000,2,2,123,Fraccionamiento Solares,Zapopan,House
,10000,3,1,232,El Fortín,Zapopan,House
,22000,2,4,60,San Agustín,Tlajomulco de Zúñiga,House
,5000,3,1,130,Copalita,Zapopan,House
,20000,,2,,Los Pinos Campestre,Zapopan,House
Blvd Santillana 33,39000,4,5,5000,Fraccionamiento Pinar de La Venta,Zapopan,House
altavista poniente 100,22000,3,3,133,Fraccionamiento Solares,Zapopan,House
"Priv. C. Parota 30, Rancho El Centinela",32900,6,3,250,Ciudad Del Sol,Zapopan,House
Privada de las Rosas # 30,28000,5,3,318,Vallarta Poniente,Guadalajara,House
av Paseo del Anochecer 1058,31000,4,4,165,Fraccionamiento Valle Esmeralda,Zapopan,House
garibaldi,25000,3,3,107,Conjunto habitacional Patria,Zapopan,House
SIERRA MOJADA 2193,16142,3,2,112,Altavista Residencial,Zapopan,House
Lino 898,25000,3,2,180,Americana,Guadalajara,House
Avenida del Reno Poniente,22000,4,3,175,Nuevo México,Zapopan,House
Comerciantes,6550,2,2,90,El Moral,Tonalá,House
,29000,3,3,170,Fraccionamiento Solares,Zapopan,House
,45000,4,4,389,Providencia,Guadalajara,House
,13500,2,2,159,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
,13900,3,3,120,Santa Margarita ,Zapopan,House
,15000,3,2,140,Belisario Domínguez,Guadalajara,House
,6500,3,4,90,Las Agujas,Zapopan,House
,55000,3,3,838,Fraccionamiento Bugambilias,Zapopan,House
,20000,4,4,115,Fraccionamiento Valle Imperial,Zapopan,House
,33000,3,3,200,Arcos de Guadalupe,Zapopan,House
,8800,2,,85,San Agustín,Tlajomulco de Zúñiga,House
Mar Egeo 1447,18000,2,1,110,Country Club,Guadalajara,House
paseo de la estrella 3555,29900,5,4,165,Bosques Vallarta,Zapopan,House
San Javier,13600,3,2,90,Plaza Guadalupe,Zapopan,House
Alta Sierra 8846 coto 10,8000,3,2,75,Alta California Residencial,Tlajomulco de Zúñiga,House
Aglaya 2591,10000,3,2,80,Lomas Independencia,Guadalajara,House
ISLA CONTOY 3144,8900,3,2,80,Parques de Colón,Guadalajara,House
ATOTONILCO 555,14000,3,2,200,Nuevo México,Zapopan,House
Bv. Valle Imperial ,18500,4,4,160,Fraccionamiento Valle Imperial,Zapopan,House
VILLA CALIFORNIA,14000,3,2,140,Tlajomulco de Zúñiga,Jalisco,House
 Av. Paseo del Anochecer 1207,9900,3,2,80,Fraccionamiento Real Del Valle,Tlajomulco de Zúñiga,House
Francisco Zarco 2342,32000,3,5,154,Valle Real,Zapopan,House
Av. Servidor Publico 1262,6500,1,1,30,Ladrón de Guevara,Guadalajara,House
Camino al Arenero,35000,4,3,320,Vallarta Universidad,Zapopan,House
Vialidad A  5250,43000,4,3,290,Ciudad Granja,Zapopan,House
Circuito Madrigal ,27000,3,5,205,Fraccionamiento Solares,Zapopan,House
"Avenida casa fuerte, coto El Bastión  191 196",22000,4,3,135,Fraccionamiento Real del Carmen Grand,Zapopan,House
,45000,4,4,465,El Bajío,Zapopan,House
,15000,3,2,115,Fraccionamiento Valle Imperial,Zapopan,House
,54000,3,3,283,Colinas de San Javier,Zapopan,House
,15000,3,1,140,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
Av. Manuel Acuña 2710,26000,3,4,290,Fraccionamiento Solares,Zapopan,House
SAN CARLOS ,36000,4,2,229,Americana,Guadalajara,House
CIRCUNVALACIÓN MEDAS 514,53000,4,5,351,Providencia Sur,Guadalajara,House
av tepeyac 6050,15000,2,2,80,Jardines de Ixtepete,Zapopan,House
AV JUAN GIL PRECIADO 8555,45000,4,5,300,Altamira,Zapopan,House
Av. Amaranto #174 Fracc. Amaranto Residencial ,18500,3,2,100,Guadalupe Sur,Zapopan,House
Club De Golf Santa Anita ,16000,3,2,194,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
Salvador Quevedo y Zubieta,14000,3,2,102,Las Bóvedas,Zapopan,House
Manuel J. Clouthier 5321-5-A,7350,3,2,71,Fraccionamiento Residencial Amaranto,Zapopan,House
Avenida Valle de Atemajac  2900 Paseo de la Reina 79,12200,3,2,111,El TriAngulo,Zapopan,House
"BLVD VALLE DEL SILICIO,150-72",80000,3,3,1500,Fraccionamiento Club de Golf Santa Anita,Tlajomulco de Zúñiga,House
"Francisco Montes de Oca 3630, Col. El fortín, Zapopan, Jalisco ",19000,4,3,160,La Perla,Guadalajara,House
"Calle Garibaldi , Terranova, Guadalajara ",12500,3,1,140,Adamar,Tlajomulco de Zúñiga,House
Volcán Vesubio 5156,50000,3,4,300,Ciudad Granja,Zapopan,House
,15000,3,1,143,Villas Del Tepeyac,Zapopan,House
,21000,3,3,221,Fraccionamiento Jardín Real,Zapopan,House
,15900,3,2,128,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
,18000,3,2,151,El Fortín,Zapopan,House
,45000,4,4,429,Providencia,Guadalajara,House
,23000,3,3,250,El Colli Urbano,Zapopan,House
Conjunto Patria,50000,6,4,350,Conjunto habitacional Patria,Zapopan,House
Francisco Zarco  23,22750,3,2,122,Ladrón de Guevara,Guadalajara,House
VIA LACTEA 4123,15200,3,2,108,Jardines de Santa Anita,Tlajomulco de Zúñiga,House
Vista sur Coto la Reserva,19500,3,3,200,Arboledas ,Zapopan,House
Paseo de la cantera 750,10000,3,2,89,Tlajomulco de Zúñiga,Jalisco,House
ALMERIA  309,18500,3,3,115,Fraccionamiento Valle Imperial,Zapopan,House
Cometa 2891,12500,3,2,130,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
San martin del tajo,35000,3,3,420,Jardines del Bosque,Guadalajara,House
" Av. Paseo de la Cantera 765-54, Coto Carrara, Capital Norte, Zapopan, Jalisco",38000,5,5,250,San Martin Del Tajo,Tlajomulco de Zúñiga,House
Bosque de los Colomos 42,19500,3,2,121,Sendas Residencial,Zapopan,House
Calzada de los paraisos 7235 2,45000,3,2,1808,Las Cañadas,Zapopan,House
Blvd. Paseo del Origen No. 600,43000,4,3,290,Ciudad Granja,Zapopan,House
Elemetia No. 117 Casa 170,22000,3,4,295,Santa Anita,Tlajomulco de Zúñiga,House
Circuito de las Flores 2453,21000,3,2,103,Ciudad Granja,Zapopan,House
Av. Aviación 4055,11500,3,2,102,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Residencial Amaranto ,11500,2,2,80,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
Calle Serpentario #3814,32000,4,3,357,Fraccionamiento Bugambilias,Zapopan,House
,20000,3,3,132,Fraccionamiento Porta Real,Zapopan,House
,7500,3,1,71,Fraccionamiento Residencial Amaranto,Zapopan,House
,20000,3,3,136,Arboledas ,Zapopan,House
Alta California La Quinta  al 7001,26000,3,2,165,Fraccionamiento Mirador de San Isidro,Zapopan,House
AV AVIACION ,8500,3,2,70,Tlajomulco de Zúñiga,Jalisco,House
C.galeana al 1500,30000,4,4,189,Fraccionamiento Solares,Zapopan,House
CAMINO VIEJO A TESISTAN 1690,190000,5,6,708,Condominio Puerta Plata,Zapopan,House
PASEO ALTANZA 2132,12500,3,2,115,Fraccionamiento Bonanza Residencial,Tlajomulco de Zúñiga,House
JUAN PALOMAR Y ARIAS 1180,12300,3,2,120,Zapopan,Jalisco,House
Av. Aviación 4055,13500,4,2,130,Hogares de Nuevo México,Zapopan,House
Av Circunvalacion Medas 1216,4500,4,3,160,Nuevo México,Zapopan,House
Florencia 1055,32000,4,4,580,Fraccionamiento Solares,Zapopan,House
LUIGI PIRANDELLO,120000,3,4,300,Jardines Universidad,Zapopan,House
,60000,5,4,181,Providencia 4a Secc,Guadalajara,House
,21000,3,2,132,Universitaria,Guadalajara,House
,20000,3,3,250,Fraccionamiento Porta Real,Zapopan,House
,19800,3,2,300,Altamira,Zapopan,House
,35000,6,3,500,Fraccionamiento Rinconada de los Novelistas,Zapopan,House
,65000,4,4,157,Providencia,Guadalajara,House
,26500,3,5,105,Fraccionamiento Solares,Zapopan,House
,20000,3,2,137,Girasoles Acueducto,Zapopan,House
,13000,33,2,270,Libertad,Guadalajara,House
,28500,,2,,Vallarta Universidad,Zapopan,House
Altamira 885,16900,2,2,125,Providencia,Guadalajara,Department
Privada Atotonilco 627,17300,3,2,120,Country Club,Guadalajara,Department
"P.º Solares, Solares Residencial, 45019 Zapopan, Jal.",16150,4,4,147,Country Club,Guadalajara,Department
Río de la Plata 2477 502,25000,3,5,600,Altamira,Zapopan,Department
Blvd. Santillana 33,18500,3,3,136,Nuevo México,Zapopan,Department
GIOVANNI PAPINI 295,35000,4,3,260,Fraccionamiento Solares,Zapopan,Department
Rinconada de los Jazmines 149,120000,4,3,200,Fraccionamiento Colomos Providencia,Guadalajara,Department
Torre De Hierro,34000,3,4,350,Fraccionamiento Solares,Zapopan,Department
5 de Mayo 455,27500,3,2,114,Jardines de La Patria,Zapopan,Department
PATRIA 1891,22000,2,2,133,Lomas de Santa Anita,Tlajomulco de Zúñiga,Department
av camino de los parques 3880,90000,2,1,94,Puerta de Hierro,Zapopan,Department
Livify,18700,1,2,55,San Juan de Ocotan,Zapopan,Department
"AV. PASEO DEL ALVA 1192, COTO 1",42000,3,2,99,Puerta de Hierro,Zapopan,Department
Cuitlahuac 4230,14500,2,2,100,Lomas de San Isidro,Zapopan,Department
Av acueducto 6075,23000,2,3,84,Jardines Universidad,Zapopan,Department
LA LEY ,16900,3,2,233,Fraccionamiento Valle Imperial,Zapopan,Department
Av universidad  1000,19500,3,,157,Jardines Del Sol,Zapopan,Department
,35000,,,,Puerta de Hierro,Zapopan,Department
,40000,,,,Providencia,Guadalajara,Department
,73000,,,,Condominio Puerta Plata,Zapopan,Department
Paseo de la Alameda 25,55000,3,3,333,Royal Country,Zapopan,Department
Fresnos 7027,28000,3,3,200,Ciudad Granja,Zapopan,Department
"P.º Solares, Solares Residencial, 45019 Zapopan, Jal.",35000,4,4,147,Fraccionamiento Solares,Zapopan,Department
Paseo del Anochecer,45000,4,5,160,Fraccionamiento Solares,Zapopan,Department
Av. Empresarios 405,60000,2,2,143,Puerta de Hierro,Zapopan,Department
Cuitlahuac 4230,19500,2,2,100,Jardines Del Sol,Zapopan,Department
Vista Lomas,40000,3,2,145,Lomas Altas,Zapopan,Department
GIOVANNI PAPINI 295,27500,4,3,260,Jardines de La Patria,Zapopan,Department
Av universidad  1000,73000,3,2,157,Condominio Puerta Plata,Zapopan,Department
Valparaiso 2367,21500,1,1,63,Providencia,Guadalajara,Department
Justicia 2621,31000,3,3,240,Providencia,Guadalajara,Department
Torre Livet Otawa,32500,2,2,146,Providencia,Guadalajara,Department
Avenida niños heroes 2050,22000,2,2,84,Americana,Guadalajara,Department
