Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
Brasilia  2790 A1,23900,1.0,1.0,60.0,Fraccionamiento Colomos Providencia,Guadalajara,House,398.3333333333333,1.0,20k-30k
paseo de los virreyes 45,17000,1.0,1.0,60.0,Providencia,Guadalajara,Department,283.3333333333333,1.0,10k-20k
,6500,4.0,3.0,60.0,El Vigía,Zapopan,Department,108.33333333333333,0.75,0-10k
"P.º de los Virreyes 250, Puerta de Hierro, 45116 Zapopan, Jal.",19000,1.0,1.0,60.0,Americana,Guadalajara,Department,316.6666666666667,1.0,10k-20k
Vidrio 1984 5,21000,1.0,2.0,60.0,Americana,Guadalajara,Department,350.0,2.0,20k-30k
san juan bosco,15500,2.0,1.0,60.0,Lomas de Guadalupe,Zapopan,Department,258.3333333333333,0.5,10k-20k
,17000,2.0,1.0,60.0,La Perla,Guadalajara,Department,283.3333333333333,0.5,10k-20k
Manuel J. Clouthier 5321-5-A,14500,3.0,2.0,60.0,Paseos del Sol,Zapopan,House,241.66666666666666,0.6666666666666666,10k-20k
calle agustin itubide 61,4500,1.0,2.0,60.0,San Agustín,Tlajomulco de Zúñiga,Department,75.0,2.0,0-10k
Josefa Ortíz de Domínguez 152,18000,1.0,2.0,60.0,Americana,Guadalajara,Department,300.0,2.0,10k-20k
Av. Cristobal Colon 4853,19000,1.0,1.0,60.0,Jardines Universidad,Zapopan,Department,316.6666666666667,1.0,10k-20k
AV. VISTA PONIENTE  1133,7500,2.0,1.0,60.0,Vista Sur Residencial,Tlajomulco de Zúñiga,House,125.0,0.5,0-10k
"C. Josefa Ortiz de Domínguez 2512, Santa Ana Tepetitlán, 45230 Zapopan, Jal.",9000,2.0,1.0,60.0,Santa Ana Tepetitlán,Zapopan,Department,150.0,0.5,0-10k
Paseo Valle Real 900,8500,1.0,1.0,60.0,Las Amapas,Tlajomulco de Zúñiga,Department,141.66666666666666,1.0,0-10k
,9000,3.0,3.0,60.0,Fraccionamiento Valle de San Nicolás,Zapopan,House,150.0,1.0,0-10k
Santa Adriana 2337,5800,3.0,2.0,60.0,Fraccionamiento Los Molinos,Zapopan,House,96.66666666666667,0.6666666666666666,0-10k
